2025-06-02 14:22:32,329 - INFO - 开始超参数搜索，方法: random, 试验次数: 20
2025-06-02 14:24:20,402 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 1/30, Train Loss: 1.5060, Test Acc: 57.66%
2025-06-02 14:44:10,708 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 12/30, Train Loss: 0.5947, Test Acc: 77.84%
2025-06-02 14:45:59,516 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 13/30, Train Loss: 0.5712, Test Acc: 79.57%
2025-06-02 14:47:48,199 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 14/30, Train Loss: 0.5446, Test Acc: 79.25%
2025-06-02 14:49:36,520 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 15/30, Train Loss: 0.5276, Test Acc: 80.21%
2025-06-02 14:51:28,444 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 16/30, Train Loss: 0.5060, Test Acc: 80.08%
2025-06-02 14:53:20,406 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 17/30, Train Loss: 0.4864, Test Acc: 80.63%
2025-06-02 14:55:12,910 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 18/30, Train Loss: 0.4688, Test Acc: 80.68%
2025-06-02 14:57:04,858 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 19/30, Train Loss: 0.4517, Test Acc: 80.73%
2025-06-02 14:58:57,524 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 20/30, Train Loss: 0.4336, Test Acc: 80.70%
2025-06-02 15:00:49,690 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 21/30, Train Loss: 0.4232, Test Acc: 80.75%
2025-06-02 15:02:41,628 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 22/30, Train Loss: 0.4149, Test Acc: 81.33%
2025-06-02 15:04:33,669 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 23/30, Train Loss: 0.4008, Test Acc: 81.19%
2025-06-02 15:06:25,967 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 24/30, Train Loss: 0.3922, Test Acc: 81.46%
2025-06-02 15:08:18,131 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 25/30, Train Loss: 0.3884, Test Acc: 81.56%
2025-06-02 15:10:10,663 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 26/30, Train Loss: 0.3821, Test Acc: 81.53%
2025-06-02 15:12:02,841 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 27/30, Train Loss: 0.3777, Test Acc: 81.66%
2025-06-02 15:13:54,829 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 28/30, Train Loss: 0.3713, Test Acc: 81.60%
2025-06-02 15:15:47,046 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 29/30, Train Loss: 0.3692, Test Acc: 81.47%
2025-06-02 15:17:39,498 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 30/30, Train Loss: 0.3673, Test Acc: 81.49%
2025-06-02 15:20:01,182 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 1/30, Train Loss: 1.4968, Test Acc: 56.64%
2025-06-02 15:22:23,019 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 2/30, Train Loss: 1.1309, Test Acc: 65.79%
2025-06-02 15:24:43,837 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 3/30, Train Loss: 0.9845, Test Acc: 70.11%
2025-06-02 15:27:04,832 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 4/30, Train Loss: 0.8960, Test Acc: 73.58%
2025-06-02 15:29:26,012 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 5/30, Train Loss: 0.8328, Test Acc: 73.12%
2025-06-02 15:31:46,375 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 6/30, Train Loss: 0.7740, Test Acc: 74.51%
2025-06-02 15:34:06,716 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 7/30, Train Loss: 0.7272, Test Acc: 76.87%
2025-06-02 15:36:27,558 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 8/30, Train Loss: 0.6859, Test Acc: 75.79%
2025-06-02 15:38:47,633 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 9/30, Train Loss: 0.6550, Test Acc: 76.98%
2025-06-02 15:41:08,436 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 10/30, Train Loss: 0.6198, Test Acc: 79.16%
2025-06-02 15:43:29,359 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 11/30, Train Loss: 0.5893, Test Acc: 79.92%
2025-06-02 15:45:52,750 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 12/30, Train Loss: 0.5663, Test Acc: 79.68%
2025-06-02 15:49:24,459 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 13/30, Train Loss: 0.5361, Test Acc: 81.02%
2025-06-02 15:51:38,595 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 14/30, Train Loss: 0.5119, Test Acc: 81.37%
2025-06-02 15:53:56,312 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 15/30, Train Loss: 0.4905, Test Acc: 80.80%
2025-06-02 15:56:11,267 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 16/30, Train Loss: 0.4688, Test Acc: 81.08%
2025-06-02 16:16:11,490 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 17/30, Train Loss: 0.4513, Test Acc: 82.23%
2025-06-02 16:20:29,353 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 18/30, Train Loss: 0.4317, Test Acc: 82.12%
2025-06-02 16:25:58,814 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 19/30, Train Loss: 0.4155, Test Acc: 82.69%
2025-06-02 16:33:04,941 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 20/30, Train Loss: 0.4005, Test Acc: 83.09%
2025-06-02 16:40:16,815 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 21/30, Train Loss: 0.3869, Test Acc: 83.10%
2025-06-02 16:47:01,014 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 22/30, Train Loss: 0.3760, Test Acc: 83.54%
2025-06-02 16:54:35,134 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 23/30, Train Loss: 0.3643, Test Acc: 83.46%
2025-06-02 17:02:33,191 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 24/30, Train Loss: 0.3585, Test Acc: 83.55%
2025-06-02 17:10:37,731 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 25/30, Train Loss: 0.3504, Test Acc: 83.69%
2025-06-02 17:15:59,393 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 26/30, Train Loss: 0.3474, Test Acc: 84.13%
2025-06-02 17:24:18,765 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 27/30, Train Loss: 0.3419, Test Acc: 84.11%
2025-06-02 17:31:57,210 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 28/30, Train Loss: 0.3397, Test Acc: 83.91%
2025-06-02 17:39:17,588 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 29/30, Train Loss: 0.3330, Test Acc: 83.85%
2025-06-02 17:46:25,834 - INFO - Config: {'filter_config': 'large', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 32, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 0.0005, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 30/30, Train Loss: 0.3314, Test Acc: 84.13%
2025-06-02 17:53:09,645 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'complex', 'activation': 'mish', 'batch_size': 64, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'focal', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0.1}, Epoch 1/30, Train Loss: 1.1028, Test Acc: 53.58%
2025-06-02 17:58:13,656 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'complex', 'activation': 'mish', 'batch_size': 64, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'focal', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0.1}, Epoch 2/30, Train Loss: 0.7714, Test Acc: 60.14%
2025-06-02 18:03:30,227 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'complex', 'activation': 'mish', 'batch_size': 64, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'focal', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0.1}, Epoch 3/30, Train Loss: 0.6541, Test Acc: 62.22%
2025-06-02 18:09:32,649 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'complex', 'activation': 'mish', 'batch_size': 64, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'focal', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0.1}, Epoch 4/30, Train Loss: 0.5840, Test Acc: 65.39%
2025-06-02 18:15:59,092 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'complex', 'activation': 'mish', 'batch_size': 64, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'focal', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0.1}, Epoch 5/30, Train Loss: 0.5310, Test Acc: 71.01%
